NBLJosephineVoto	{"userID":"2494864402","text":"!! #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephine HONDURAS/141","created_at":"20140507-230941","id_str":"464180297610035200"}
NBLJosephineVoto	{"userID":"2494864402","text":"!! #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephine HONDURAS/141","created_at":"20140507-230941","id_str":"464180297610035200"}
NBLJosephineVoto	{"userID":"2494864402","text":"!! #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephine HONDURAS/141","created_at":"20140507-230941","id_str":"464180297610035200"}
NBLJosephineVoto	{"userID":"2494864402","text":"!! #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephine HONDURAS/141","created_at":"20140507-230941","id_str":"464180297610035200"}
NBLJosephineVoto	{"userID":"2494864402","text":"!! #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephine HONDURAS/141","created_at":"20140507-230941","id_str":"464180297610035200"}
NBLJosephineVoto	{"userID":"2494864402","text":"!! #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephine HONDURAS/141","created_at":"20140507-230941","id_str":"464180297610035200"}
NBLJosephine	{"userID":"2494864402","text":"!! #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephine HONDURAS/141","created_at":"20140507-230941","id_str":"464180297610035200"}
NBLJosephineVoto	{"userID":"2427547081","text":"!! #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephine HONDURAS/213","created_at":"20140507-234201","id_str":"464188434576596992"}
NBLJosephineVoto	{"userID":"2427547081","text":"!! #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephine HONDURAS/213","created_at":"20140507-234201","id_str":"464188434576596992"}
NBLJosephineVoto	{"userID":"2427547081","text":"!! #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephine HONDURAS/213","created_at":"20140507-234201","id_str":"464188434576596992"}
NBLJosephineVoto	{"userID":"2427547081","text":"!! #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephine HONDURAS/213","created_at":"20140507-234201","id_str":"464188434576596992"}
NBLJosephineVoto	{"userID":"2427547081","text":"!! #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephine HONDURAS/213","created_at":"20140507-234201","id_str":"464188434576596992"}
NBLJosephineVoto	{"userID":"2427547081","text":"!! #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephine HONDURAS/213","created_at":"20140507-234201","id_str":"464188434576596992"}
NBLJosephine	{"userID":"2427547081","text":"!! #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephine HONDURAS/213","created_at":"20140507-234201","id_str":"464188434576596992"}
NBLJosephineVoto	{"userID":"2427547081","text":"!! #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephine HONDURAS/23","created_at":"20140507-222739","id_str":"464169719570780160"}
NBLJosephineVoto	{"userID":"2427547081","text":"!! #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephine HONDURAS/23","created_at":"20140507-222739","id_str":"464169719570780160"}
NBLJosephineVoto	{"userID":"2427547081","text":"!! #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephine HONDURAS/23","created_at":"20140507-222739","id_str":"464169719570780160"}
NBLJosephineVoto	{"userID":"2427547081","text":"!! #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephine HONDURAS/23","created_at":"20140507-222739","id_str":"464169719570780160"}
NBLJosephineVoto	{"userID":"2427547081","text":"!! #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephine HONDURAS/23","created_at":"20140507-222739","id_str":"464169719570780160"}
NBLJosephineVoto	{"userID":"2427547081","text":"!! #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephine HONDURAS/23","created_at":"20140507-222739","id_str":"464169719570780160"}
NBLJosephine	{"userID":"2427547081","text":"!! #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephine HONDURAS/23","created_at":"20140507-222739","id_str":"464169719570780160"}
NBLJosephineVoto	{"userID":"2427547081","text":"!! #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephine HONDURAS/38%%","created_at":"20140507-223340","id_str":"464171233727488000"}
NBLJosephineVoto	{"userID":"2427547081","text":"!! #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephine HONDURAS/38%%","created_at":"20140507-223340","id_str":"464171233727488000"}
NBLJosephineVoto	{"userID":"2427547081","text":"!! #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephine HONDURAS/38%%","created_at":"20140507-223340","id_str":"464171233727488000"}
NBLJosephineVoto	{"userID":"2427547081","text":"!! #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephine HONDURAS/38%%","created_at":"20140507-223340","id_str":"464171233727488000"}
NBLJosephineVoto	{"userID":"2427547081","text":"!! #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephine HONDURAS/38%%","created_at":"20140507-223340","id_str":"464171233727488000"}
NBLJosephineVoto	{"userID":"2427547081","text":"!! #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephine HONDURAS/38%%","created_at":"20140507-223340","id_str":"464171233727488000"}
NBLJosephine	{"userID":"2427547081","text":"!! #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephineVoto #NBLJosephine HONDURAS/38%%","created_at":"20140507-223340","id_str":"464171233727488000"}
Vote1DUK	{"userID":"848053344","text":"!! #Vote1DUK #KCA","created_at":"20140328-094238","id_str":"449481682195062784"}
KCA	{"userID":"848053344","text":"!! #Vote1DUK #KCA","created_at":"20140328-094238","id_str":"449481682195062784"}
CR7	{"userID":"224241723","text":"!! RT @Lwax_10: This could be the motivational factor for him + La Decima RT_Kagistian07: #CR7 Has To Go ... http://t.co/IufCamTXMA","created_at":"20140411-111559","id_str":"454578604614365185"}
